event_id,site_id,start_date,end_date,rain_24h_mm,rain_station,rain_event_total_mm,rain_source_url,rain_tier,affected_area_km2,area_method,area_source_url,area_tier,people_affected,people_source_url,deaths,deaths_source_url,driver,notes
chn_yangtze_2024_dongting,chn_yangtze,2024-07-05,2024-07-08,,,,,,48,"direct measurement of inundated area behind the breached Dongting Lake dyke (Tuanzhou area), average water depth ~5m, per Chinese state/local media reporting",https://www.globaltimes.cn/page/202407/1315657.shtml,V3,340000,https://www.scmp.com/news/china/article/3269424/dyke-breach-chinas-no-2-freshwater-lake-dongting-sparks-emergency-evacuation,0,https://www.chinadailyhk.com/hk/article/587615,levee_failure,"Dongting Lake (Hunan) is a Yangtze-connected floodplain lake but is geographically distinct from the Poyang/Wuhan reach that anchors this site (it sits further downstream/southwest, on a separate tributary system) — included here as a directly Yangtze-linked event within the same middle-Yangtze flood regime, flagged for possible exclusion depending on how the site boundary is ultimately drawn. Breach followed 17 days of continuous heavy rain in Hunan, the longest such stretch since 1961 (no mm figure sourced). No deaths reported from the breach itself; ~6,000–7,680 people evacuated/relocated from the immediate breach area versus 340,000 affected across the wider Hunan flooding."
ind_mumbai_2005,ind_mumbai,2005-07-26,2005-07-27,944,Santacruz (IMD),,https://en.wikipedia.org/wiki/Maharashtra_floods_of_2005,V3,,,,,,,1094,https://en.wikipedia.org/wiki/Maharashtra_floods_of_2005,rainfall,"Deaths figure is state-wide (Maharashtra), not Mumbai-only. 944mm/24h is wettest day on record at Santacruz, previous record 575mm (1974); economic loss ~Rs 5.5 billion."
ind_mumbai_2017,ind_mumbai,2017-08-29,2017-08-30,322,Santacruz (IMD),,https://en.wikipedia.org/wiki/2017_Mumbai_flood,V3,,,,,,,21,https://en.wikipedia.org/wiki/2017_Mumbai_flood,rainfall,"12-hr city rainfall of 468mm (highest August day since 1997) per IMD; sub-station readings same day: Parel 230mm/5hr, Matunga 253mm/5hr, Worli 243mm/5hr, Kurla 208mm/5hr — https://www.freepressjournal.in/cmcm/august-29-2017-a-day-mumbaikars-will-never-forget (V3). Deaths rose after a building collapse; some reports cite 14 initially."
ind_mumbai_2019,ind_mumbai,2019-07-01,2019-07-02,300,unspecified Mumbai station,,https://www.aljazeera.com/gallery/2019/7/2/in-pictures-india-monsoon-chaos-kills-dozens-in-mumbai-pune,V3,,,,,,,27,https://gulfnews.com/world/asia/india/maharashtra-rains-eight-dead-15-missing-after-indian-dam-breached-1.1562145878999,rainfall,""">300mm in 24h in some areas"", described as heaviest in a decade / 2nd highest in 44 years; deaths mostly from wall collapses (18 in Malad, 3 in Kalyan school). rain_24h_mm is an approximate reported threshold, not a specific named-station reading — treat with caution."
ind_mumbai_2021,ind_mumbai,2021-07-17,2021-07-19,235,Mumbai Airport (Santacruz),,https://floodlist.com/asia/india-mumbai-landslides-july-2021,V3,,,,,,,32,https://en.wikipedia.org/wiki/2021_Mumbai_landslide,rainfall,Colaba station recorded 197mm/24h same period. Deaths from Chembur (21) and Vikhroli (10) landslides on rain-saturated slopes; severe flooding along Mithi River in Kurla noted.
ind_mumbai_2024,ind_mumbai,2024-09-27,2024-09-28,,,250,https://watchers.news/2024/09/28/mumbai-sees-its-wettest-september-day-in-3-years-after-250-mm-9-8-inches-of-rain-hit-the-city-in-6-hours-india/,V3,,,,,,,4,https://watchers.news/2024/09/28/mumbai-sees-its-wettest-september-day-in-3-years-after-250-mm-9-8-inches-of-rain-hit-the-city-in-6-hours-india/,rainfall,"250mm fell in a 6-hour window (not a clean 24h reading, hence left in rain_event_total_mm not rain_24h_mm); Mankhurd recorded 276mm in a 6hr window same day. Wettest September day since 2020/2021."
idn_jakarta_2007,idn_jakarta,2007-02-01,2007-02-12,340,unspecified (city-wide peak),,https://en.wikipedia.org/wiki/2007_Jakarta_flood,V3,,,,,500000,https://en.wikipedia.org/wiki/2007_Jakarta_flood,80,https://www.abc.net.au/news/2007-02-11/jakarta-floods-claim-80-lives/2191640,rainfall,"Rated a 1-in-50-year event; 80 separate regions and >70,000 homes flooded; damage ~$400M."
idn_jakarta_2013,idn_jakarta,2013-01-15,2013-01-23,,,,,,,,,,20000,https://en.wikipedia.org/wiki/2013_Jakarta_flood,41,https://en.wikipedia.org/wiki/2013_Jakarta_flood,levee_failure,"Triggered by West Flood Canal dike breach (30m section) in Menteng; flooding reached the presidential palace; no sourced 24h rainfall figure found for this event, left blank per rule."
idn_jakarta_2015,idn_jakarta,2015-02-01,2015-02-28,,,,,,,,,,4258,https://en.tempo.co/read/1982678/jakarta-flood-update-89-neighborhoods-and-2-roads-still-submerged-4258-people-displaced,,,rainfall,"Could not confirm exact Feb 2015 dates or a deaths figure specific to that event from sources found; 4,258 displaced figure and 89 flooded neighborhoods (incl. Kampung Melayu, Bidara Cina at 919 displaced) are from a Tempo report but exact event date is ambiguous — flagged as a gap, do not treat as fully confirmed 2015-only figure."
idn_jakarta_2020,idn_jakarta,2020-01-01,2020-01-02,377,Halim Perdanakusuma (BMKG),,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022GL101513,V1,,,,,397000,https://reliefweb.int/report/indonesia/flash-update-no-01-flooding-jakarta-metropolitan-area-indonesia-02-january-2020,66,https://gulfnews.com/world/asia/indonesia-capital-floods-leave-43-dead-397000-displaced-1.68787436,rainfall,"Record since observations began 1866, ~300-yr return period per Lubis et al. 2022 (peer-reviewed, V1). Deaths toll rose to 66 (from initial reports of dozens); note death-toll sources vary (43 vs 66) across dates — used later, higher-confidence figure; verify against BNPB if refining."
idn_jakarta_2021,idn_jakarta,2021-02-19,2021-02-22,214.2,Majalengka (BMKG),,https://floodlist.com/asia/indonesia-greater-jakarta-floods-update-february-2021,V3,,,,,52527,https://floodlist.com/asia/indonesia-greater-jakarta-floods-update-february-2021,5,https://floodlist.com/asia/indonesia-greater-jakarta-floods-update-february-2021,rainfall,"Majalengka station is in West Java, not Jakarta proper — recorded as regional rainfall context, flag if regression needs Jakarta-city-only station. 19,092 displaced within Jakarta per BNPB; wider Java Island toll (4-5 dead, >60,000 displaced) is a broader figure, not Jakarta-only."
vnm_mekong_2000,vnm_mekong,2000-09-01,2000-10-31,,,,,,37420,simulated inundation extent (ISIS 1D/2D hydraulic model calibrated to the 2000 event; covers ~96% of the Vietnamese Mekong Delta area),https://www.researchgate.net/publication/274679640_The_Historical_Flood_in_2000_in_Mekong_River_Delta_Vietnam_A_Quantitative_Analysis_and_Simulation,V2,670000,https://reliefweb.int/report/viet-nam/eyewitness-worst-flood-mekong-delta-70-years,407,https://www.adrc.asia/view_disaster_en.php?lang=&KEY=147,rainfall,"""Worst flood in the Mekong delta for 70 years"" per ReliefWeb eyewitness report; death toll varies by source/date across the event (407 per late-Oct report, other contemporaneous reports cite up to 480-485 as the toll rose) — used the ADRC-referenced figure, flag the range. 670,000 relocated or needing relocation; >500,000 homes swamped; flood depth ~2.5m sustained over a month."
vnm_mekong_2011,vnm_mekong,2011-09-01,2011-12-31,,,,,,,,,,600000,https://en.wikipedia.org/wiki/2011_Southeast_Asian_floods,85,https://en.wikipedia.org/wiki/2011_Southeast_Asian_floods,rainfall,"Worst Mekong Delta flooding in 11 years, slow-onset (not flash flood); affected An Giang, Dong Thap, Long An, Can Tho, Vinh Long, Hau Giang, Kien Giang; 153,744 houses affected, ~13,000 families evacuated, 72 of 85 deaths were children under 16; damages ~US$135M concentrated in An Giang and Dong Thap (~99,000 people affected in those two provinces per ReliefWeb, URL blocked on fetch — verify: https://reliefweb.int/disaster/fl-2011-000137-vnm)."
dxb-2016-03,are_dubai,2016-03-09,2016-03-12,,,240,https://watchers.news/2016/03/09/severe-weather-hits-uae-and-oman-thunderstorms-large-hail-and-severe-flooding/,V3,,,,,,,,,rainfall,"Watchers.news reports ""over 240mm"" as an event total for Dubai; exact station and whether it is a 24h or multi-day figure not specified in source, so recorded as event total only per hard rule 2. No affected-area or casualty figures found for this event."
dxb-2020-01,are_dubai,2020-01-09,2020-01-12,,,,,,,,,,,,,,rainfall,"Dubai was flooded (roads, airport disruption; ~1.3 million m3 of rainwater pumped in 24h) but no Dubai-specific rain gauge figure in mm was found — [FloodList](https://floodlist.com/asia/iran-uae-floods-january-2020); [The Watchers](https://watchers.news/2020/01/13/uae-smashes-24-year-old-rainfall-record-widespread-flooding-and-destruction-reported/). Regional record for this event was 190.4mm at Al Shakla, Al Ain (outside this site's bbox — Abu Dhabi emirate), given only as national context, not a Dubai station figure."
dxb-2024-04,are_dubai,2024-04-14,2024-04-17,142,Dubai International Airport,164,https://en.wikipedia.org/wiki/2024_United_Arab_Emirates_floods,V3,23.8,satellite-derived flood extent — PlanetScope daily optical imagery (14–27 Apr 2024) classified with a U-Net deep-learning model,https://www.tandfonline.com/doi/full/10.1080/19475683.2026.2639768,V1,,,5,https://en.wikipedia.org/wiki/2024_United_Arab_Emirates_floods,rainfall,"Deaths figure (5) is the UAE national total (3 Filipino, 1 Emirati, 1 Pakistani), not Dubai-specific — no Dubai/Sharjah-only death toll found. Rain: 142mm/24h at Dubai Airport is widely reported (e.g. NPR, multiple outlets) but Wikipedia's synthesis also cites a 164mm two-day airport total; NCM's official per-station bulletin was not directly retrieved (gap). Insured losses for the whole UAE estimated at US$2.9-3.4bn — [Guy Carpenter](https://www.guycarp.com/insights/2024/09/post-event-report-gulf-floods-update-september-2024.html) — but no people-affected headcount found for Dubai/Sharjah specifically."
dxb-2024-05,are_dubai,2024-05-02,2024-05-02,,,,,,,,,,,,,,rainfall,"Follow-up storm two weeks after the April event; flights cancelled, schools/offices closed, remote work ordered — [CNN](https://www.cnn.com/2024/05/02/middleeast/uae-rain-storm-dubai-flights-disruption-climate-intl/index.html). No rainfall-in-mm, area, or casualty figures found for this specific event."
dxb-2025-12,are_dubai,2025-12-18,2025-12-19,,,,,,,,,,,,,,rainfall,"Storm centered on Ras Al Khaimah (127mm/2-day at Al Ghaznah, 123mm at Mina Saqr — outside this site) but disrupted Dubai: 13 Emirates flights cancelled from DXB — [The National, 20 Dec 2025](https://www.thenationalnews.com/news/uae/2025/12/20/ras-al-khaimah-hit-by-more-than-a-year-of-rain-during-uae-storms/). No Dubai/Sharjah-specific rainfall, area, or casualty figures found."
fjr-2020-01,are_fujairah,2020-01-09,2020-01-12,,,,,,,,,,,,,,rainfall,"Fujairah's Farfar Valley required a bus rescue by Civil Defence and schools closed in Fujairah/RAK — [Gulf News via search synthesis / FloodList](https://floodlist.com/asia/iran-uae-floods-january-2020). No Fujairah-specific rain-gauge, area, or casualty figures found; the 190.4mm Al Shakla (Al Ain) national record for this event is outside this site."
fjr-2022-07,are_fujairah,2022-07-26,2022-07-29,,Fujairah Port,221.8,https://en.wikipedia.org/wiki/2022_United_Arab_Emirates_floods,V3,,,,,,,7,https://english.alarabiya.net/News/gulf/2022/07/29/UAE-announces-six-deaths-after-rains-flooding,rainfall,"NCM called this the heaviest UAE rainfall in 27 years. Masafi also exceeded 200mm event total — [ScienceDirect](https://www.sciencedirect.com/science/article/abs/pii/S0140196323000848). 7 deaths nationally (mostly Sharjah/Fujairah/RAK, breakdown by emirate not found). Nationally, 870 people rescued and 3,897 evacuated between 23-28 July, but this is a UAE-wide figure, not Fujairah-specific — GAP: no Fujairah-only people-affected count found. No inundated-area km2 figure found for this event despite a dedicated FRC GIS study existing (PDF retrieved but not text-extractable in this session) — see Gaps."
fjr-2024-04,are_fujairah,2024-04-14,2024-04-17,233.3,Kalba,,https://www.nature.com/articles/s41598-026-53055-9,V2,,,,,,,,,rainfall,"Fujairah town itself reported ~145mm (5.7in) on 16 Apr per general-media synthesis, but this could not be traced to a single resolvable NCM/primary URL in this session, so it is DROPPED per hard rule 1 — only the Kalba station figure (traced to the Scientific Reports paper) is retained. No Fujairah/east-coast-specific inundated area, people-affected, or death figures found (UAE national deaths for this event: 4-5, already recorded under the Dubai site, not repeated here to avoid double-counting)."
fjr-2024-10,are_fujairah,2024-10-23,2024-10-25,,,,,,,,,,,,,,rainfall,"Light-to-heavy rain reported over Khor Fakkan, Masafi, Wadi Isfini and several named Fujairah/RAK mountain locations — [Gulf News, cited in search synthesis](https://gulfnews.com/uae/weather/uae-weather-heavy-rains-reported-in-ras-al-khaimah-and-fujairah-more-rainfall-expected-this-week-1.1729610557038). No numeric rainfall, area, or casualty figures found; included only to flag the event exists."
fjr-2025-12,are_fujairah,2025-12-18,2025-12-19,,,,,,,,,,,,,,rainfall,"December 2025 storm was RAK-centric (127mm/2-day Al Ghaznah, 123mm Mina Saqr) with east-coast/Fujairah impacts implied but not quantified in any source found — [The National](https://www.thenationalnews.com/news/uae/2025/12/20/ras-al-khaimah-hit-by-more-than-a-year-of-rain-during-uae-storms/)."
nga_2012,nga_lokoja,2012-09-01,2012-11-30,,,,,,60.57,"geospatial/remote-sensing assessment of inundated area, Niger-Benue confluence, Kogi State (academic paper abstract only; full text not independently verified)",https://www.researchgate.net/publication/273381186_Geospatial_Assessment_of_2012_Flood_Disaster_in_Kogi_State_Nigeria,V2,623690,https://www.tandfonline.com/doi/full/10.1080/02626667.2025.2478137,,,rainfall+dam_release,"Partly attributed to Lagdo Dam release, Cameroon; lower Benue >10,000 homes submerged >2 weeks. A different source (EnviroNews/Prime Progress) gives 566,466 displaced across Kogi+Benue states combined and >430 deaths nationally — figures conflict by source/scope, neither independently verified enough to record with confidence. Exact start/end dates not sourced; ""2012 Nigeria floods"" generally spans Aug–Nov."
nga_2018,nga_lokoja,2018-09-07,2018-09-24,,,,,,,,,,141369,https://floodlist.com/africa/nigeria-floods-september-2018-update,100,https://www.aljazeera.com/news/2018/09/nigeria-floods-kill-100-people-10-states-180917193612830.html,rainfall+dam_release,"Kogi-specific: ""over 70 communities"" and >50,000 displaced in Kogi per Daily Trust (https://dailytrust.com/floods-sack-over-70-communities-in-kogi-displace-over-50000-persons/), V3, not cross-verified. Niger River level at Lokoja: 10.01 m (7 Sep) rising to 11.06 m (18 Sep) — FloodList, V3, downstream of Kainji/Jebba dams."
nga_2022,nga_lokoja,2022-09-01,2022-10-10,,,,,,154,"Sentinel-1 SAR flood delineation over Lokoja area, 25–26 Sep 2022 acquisition",https://user.eumetsat.int/resources/case-studies/severe-flooding-in-nigeria,V1,10000,https://tierrasync.com/blog-nigeria-flooding,76,https://www.cnn.com/2022/10/10/africa/casualties-latest-nigeria-flood-intl/index.html,rainfall+dam_release,"Copernicus EMS activation EMSR314. National totals: 1.4M displaced, 603 dead (CNN, https://www.cnn.com/2022/10/10/africa/casualties-latest-nigeria-flood-intl/index.html), V3. A separate flood-mapping source (Medium/Irekponor) gives 130.46 km² flooded of which 33.23 km² cropland — kept as alt figure, not independently reconciled with the 154 km² EUMETSAT figure."
nga_2024,nga_lokoja,2024-09-23,2024-11-01,,,,,,610,"government estimate of inundated farmland, Kogi State (OCHA situation report)",https://reliefweb.int/report/nigeria/nigeria-floods-situation-report-no-5-1-november-2024,V2,,,,,rainfall+dam_release,"NIHSA red-alert water level at Lokoja: 8.89 m (23 Sep 2024). LGAs named as flood-prone: Lokoja, Kogi, Ajaokuta, Bassa, Ibaji, Idah, Igalamela/Odolu, Ofu, Omala, Adavi. ""Tens of thousands displaced"" reported but no clean total sourced for Kogi specifically."
usa_2001_allison,usa_houston,2001-06-05,2001-06-09,,,939.5,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5117a1.htm,V2,,,,,,,22,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5117a1.htm,rainfall,"Station: Port of Houston, storm total 36.99 in. A separate ""up to 37 in in 24 h"" figure is reported for Harris County generally but without a named station, so not recorded as rain_24h_mm (Rule 2). Nationwide toll ~40 deaths, $5–9B damage depending on source (ABC13 vs. other outlets) — not reconciled."
usa_2015_memorial,usa_houston,2015-05-25,2015-05-26,,,261.6,https://www.click2houston.com/weather/2019/05/23/remembering-houstons-2015-memorial-day-flood/,V3,,,,,,,8,https://www.click2houston.com/weather/2019/05/23/remembering-houstons-2015-memorial-day-flood/,rainfall,"Station: Buffalo Bayou & Beltway 8, 10.3 in measured over ~10 hours (not a clean 24h window, recorded as event total per Rule 2). County-wide overnight average 5.3 in ≈ 162 billion gallons."
usa_2016_taxday,usa_houston,2016-04-17,2016-04-18,,,424.2,https://www.click2houston.com/weather/2019/04/16/look-back-at-houstons-2016-tax-day-flood/,V3,,,,,,,5,https://www.click2houston.com/weather/2019/04/16/look-back-at-houstons-2016-tax-day-flood/,rainfall,"Peak 16.7 in over 12h, western Harris County (no single named gauge sourced). County average 7.75 in ≈ 240 billion gallons; >10,000 homes damaged."
usa_2017_harvey,usa_houston,2017-08-25,2017-08-31,,,1538.7,https://www.nhc.noaa.gov/data/tcr/AL092017_Harvey.pdf,V1,606,"satellite imagery classification of flooded area, Harris County (University of Colorado analysis)",https://kinder.rice.edu/urbanedge/hurricane-harvey-data,V1,,,,,rainfall,"Rain: station Nederland, TX, storm-total record 60.58 in (new CONUS tropical-cyclone rainfall record); this is event-total, not 24h peak (24h peak not cleanly sourced). Alt area estimate: HCFCD meteorologist stated ~70% of county's 1,800 sq mi (~3,220 km²) flooded to depth ≥1.5 ft — verbal/press estimate, not a formal report, kept as a note not a separate row. 69,000+ properties damaged countywide (California WaterBlog / HCFCD); 68% of flooded structures were outside the 100-yr floodplain."
usa_2024_beryl,usa_houston,2024-07-08,2024-07-09,,,,,,,,,,,,7,https://www.weather.gov/media/hgx/TropicalEventSummary/PSHHGX_2024AL02_Beryl_Summary.pdf,rainfall,"Rainfall reported only as a range (4–8 in average, 10–15 in in heavier bands) with no single named station isolated — left blank per Rule 1/2. Storm surge 4–6 ft (up to 8 ft in places); 47 high-water rescues in Harris County (NWS HGX summary)."
deu_2021_jul,deu_ahr,2021-07-12,2021-07-15,150,Cologne-Stammheim,,https://nhess.copernicus.org/articles/23/525/2023/,V1,,,,,,,134,https://nhess.copernicus.org/articles/25/581/2025/,rainfall,"Copernicus EMS Rapid Mapping activation EMSR517 (13 Jul, 50 maps over 20 AOIs) delineated flood extent but a single total km² figure was not found in the sources checked — flagged as a gap. Second station: Kall-Sistig (Euskirchen district) 144.8 mm/24h, same source. Germany total 184 deaths, Belgium 38 — combined event total ~224 per multi-institution study (Potsdam/GFZ/Louvain/JHU)."
bel_2021_jul,deu_ahr,2021-07-13,2021-07-16,,,,,,,,,,10000,https://www.vrt.be/vrtnws/en/2021/07/22/12-000-verviers-and-pepinster-residents-need-to-find-a-new-home/,37,https://www.vrt.be/vrtnws/en/2021/07/22/12-000-verviers-and-pepinster-residents-need-to-find-a-new-home/,rainfall,"Vesdre river at Verviers/Pepinster rose from <0.6 m to 2.98 m within hours (13–14 Jul) — river-stage rise, not a rainfall depth, kept as note only. No named-station rainfall figure sourced for the Belgian side; left blank. Included as a separate row from the German Ahr event because it is a distinct river system (Vesdre/Meuse) within the same storm/site, per the multi-country site definition."
bra_2023_sep,bra_rgs,2023-09-01,2023-09-06,,,291,https://en.wikipedia.org/wiki/2023_Rio_Grande_do_Sul_floods,V3,,,,,354711,https://en.wikipedia.org/wiki/2023_Rio_Grande_do_Sul_floods,47,https://en.wikipedia.org/wiki/2023_Rio_Grande_do_Sul_floods,rainfall,"Station: Passo Fundo, 291 mm over 72 h — recorded as event total, not 24h (Rule 2). Muçum: ~85% of town inundated, 16 deaths there. 25,855 displaced; 3,800 homeless; $1.3B damage. Exact start/end dates approximate; sources give early-to-mid September window."
